,order_id,categoria,categoria_final
0,000e906b789b55f64edcb1f84030f90d,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1,0017afd5076e074a48f1f1a4c7bac9c5,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
2,001c85b5f68d2be0cb0797afc9e8ce9a,['CASA E CONFORTO'],CASA E CONFORTO
3,001d8f0e34a38c37f7dba2a37d4eba8b,['MODA E BELEZA'],MODA E BELEZA
4,0030d783f979fbc5981e75613b057344,['CASA E CONFORTO'],CASA E CONFORTO
5,00324b3eda39ba5ecce3945823e3594c,"['AGRO, INDUSTRIA E NEGOCIOS']","AGRO, INDUSTRIA E NEGOCIOS"
6,0032d07457ae9c806c79368d7d9ce96b,['CASA E CONFORTO'],CASA E CONFORTO
7,00335b686d693c7d72deeb12f8e89227,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
8,003a94f778ef8cfd50247c8c1b582257,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
9,003d804eef0e1b856881cd18e0cc0d4c,['MODA E BELEZA'],MODA E BELEZA
10,003f201cdd39cdd59b6447cff2195456,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
11,00526a9d4ebde463baee25f386963ddc,['ALIMENTOS'],ALIMENTOS
12,005e5166e99d1e4d0c4f808b0540ba94,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
13,00685d31ae12e47470ba5c18ba74f22c,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
14,0084e195fbd72ae51599af47f04afede,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
15,008a1b3db2a8bf63418c2cf7c7f494b1,['MODA E BELEZA'],MODA E BELEZA
16,0094bd07f49fed90209ffa62d1ef26d6,['MODA E BELEZA'],MODA E BELEZA
17,0096668e5b0b8e9657a6f7209a4e58b4,['AUTOMOTIVO'],AUTOMOTIVO
18,009742b43f4530bc3db7f62332c50f4b,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
19,00a379dfab816a83741012b71b264098,"['LIVROS, MUSICA E PAPELARIA']","LIVROS, MUSICA E PAPELARIA"
20,00b9e0f8f588d0406a3de447eb606970,['CASA E CONFORTO'],CASA E CONFORTO
21,00bf1320ffb5fe47a845feca16c0e0b4,['MODA E BELEZA'],MODA E BELEZA
22,00c00d5b36157595e21108ba1da2828f,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
23,00d03eb3425f41a599ae2f788e23c07f,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
24,00d1289d5125017a90e528b5a7cee91f,['MODA E BELEZA'],MODA E BELEZA
25,00d50baf1bc56a3c59de1810a6b84b0d,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
26,00e054d0da011d5016f31011af488f4f,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
27,01015fb6493ea5b9ba105c80b5452da1,['CASA E CONFORTO'],CASA E CONFORTO
28,0115abf6b892040abfdd5bdfcb6b2c51,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
29,0115d160c5fbd758a139ff90821db60d,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
30,011fcb4fabb3e142579ad63472b11227,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
31,012670c73246a753cbde0a215c2b9e8f,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
32,0136bcc7370d7fdf44bd916a6dd583c6,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
33,013bc77d3ca5fba084a241fdcb307393,['CASA E CONFORTO'],CASA E CONFORTO
34,014e78d1239f19fdcafd760d3e52f923,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
35,016d1bdf6efab4f6b805df1c03043113,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
36,019d444bd00f1ccb4643de466f9a1525,"['AGRO, INDUSTRIA E NEGOCIOS']","AGRO, INDUSTRIA E NEGOCIOS"
37,019e03014ec20cc2e3b180cdcf90b4e8,['ARTES E DECORACAO'],ARTES E DECORACAO
38,01b15a896c5842077af2aaf4a9f94309,['PET SHOP'],PET SHOP
39,01b241fa1421c8284e8c1029a503360f,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
40,01b330808c5819a6a3cb79b72f0b8288,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
41,01b6d15407d425529cbf0ec96258cb84,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
42,01bc343311e5b8090b64d6ab287a5cf0,['CASA E CONFORTO'],CASA E CONFORTO
43,01c26a0b2736899633cfd6a3c1749428,['BEBES'],BEBES
44,01cbdb2a8c075eaf248af643b3389f73,['MODA E BELEZA'],MODA E BELEZA
45,01d48ed99667ce49eaeaa7980a31b987,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
46,01d95eed9163a292a6788ddac08bcf31,['CASA E CONFORTO'],CASA E CONFORTO
47,01f67ca8027e959060afd840aa06f465,['MODA E BELEZA'],MODA E BELEZA
48,021363783b521e9813dd62bbcb77d1dd,['MODA E BELEZA'],MODA E BELEZA
49,0229b2e398fde4545d32b5bb232973ad,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
50,02332b54c758506809fd87d9c2748086,['MODA E BELEZA'],MODA E BELEZA
51,02355020fd0a40a0d56df9f6ff060413,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
52,0241b276e1e2b1d6873473c44240b426,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
53,02440f65dc09737b491463739c347446,['MODA E BELEZA'],MODA E BELEZA
54,024a19cc498cc1a9efcf675d1ca465c3,['AUTOMOTIVO'],AUTOMOTIVO
55,024a74550cdbd36c0fe3955fc9e2bcf0,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
56,024ab991361d48e491b7dad2f172b43f,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
57,025830a006d984bf712a8c6a1eca41c0,['ARTES E DECORACAO'],ARTES E DECORACAO
58,0268c75309d105bb28b7523f57f46a69,['CASA E CONFORTO'],CASA E CONFORTO
59,026f3440c258a87c9f6fb9c8e1bbb6e7,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
60,0277fae7eda81470bf6c87dc570e267a,['MODA E BELEZA'],MODA E BELEZA
61,027a84a16c22c706669f35d578853f3e,['CASA E CONFORTO'],CASA E CONFORTO
62,02852b112ad108b3d2b3d4ee198d84a8,['CASA E CONFORTO'],CASA E CONFORTO
63,028d62c0fdae574114981f4fb33b5538,['MODA E BELEZA'],MODA E BELEZA
64,02a0f7101947ebb4e6d2ec4c1c929bbb,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
65,02a9c0d24428f373731752bcc9719ebe,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
66,02c84deb7aa1f2e74090d56a0ec84120,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
67,02cb37269f256232b81be588ef056c92,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
68,02d0cd05f04ab2e3c1acc473b0abc865,['MODA E BELEZA'],MODA E BELEZA
69,02df7a4137081ada2a06ac6e2bca6364,['BEBES'],BEBES
70,030aeef4719e9d33e0c39bd00a9a14be,['BEBES'],BEBES
71,031494323fa558eee8dd1bd06fc34713,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
72,031e7d4e559a1bf08e71a419aa998d0a,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
73,031f488d7e8549b5d8af94f5a3e9300e,['ARTES E DECORACAO'],ARTES E DECORACAO
74,032a688c9db451501788d95c7f794ed6,['MODA E BELEZA'],MODA E BELEZA
75,032b42b17fe9daa676ba9447f3dbbd0a,['MODA E BELEZA'],MODA E BELEZA
76,0347673d14e454a696bca6aebe61f23e,['BEBES'],BEBES
77,0350fc2d00f48ad8a74efdf4d2fd4bdc,['ARTES E DECORACAO'],ARTES E DECORACAO
78,0359008adff4c1def5a09bb92f7a5aa8,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
79,035bb18fd268637e7d91814bf5e27fd4,['MODA E BELEZA'],MODA E BELEZA
80,035d66b23a4bba74f8119f9ebe3458ee,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
81,03720fdc92032ee4abd471d172006ab0,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
82,037d59208a513ace896d132dc8c8a93d,['BEBES'],BEBES
83,0382be412d28f04f932ae97df15d634e,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
