order_id,price,freight_value,valor_total
00018f77f2f0320c557190d7a144bdd3,239.9,19.93,259.83
0017afd5076e074a48f1f1a4c7bac9c5,809.1,44.29,853.39
0020a222f55eb79a372d0efee3cca688,29.99,15.1,45.089999999999996
0035246a40f520710769010f752e7507,87.0,12.11,99.11
003a7f59d7e08a9c61d9e2881fe6459c,119.0,15.28,134.28
005d9a5423d47281ac463a968b3936fb,99.97,45.28,145.25
00685d31ae12e47470ba5c18ba74f22c,59.0,16.17,75.17
0068c109948b9a1dfb8530d1978acef3,71.8,31.58,103.38
00772b2af35643653f108fdac1155ee3,37.0,10.96,47.96
0095790a64527ec83aeaaf99023c050e,19.9,42.76,62.66
00a250dbdb3153cc6ecf4d3f07ef6a17,53.99,7.78,61.77
00a9536682ecb394a3794c1608200803,109.9,12.27,122.17
00ab210695a17fe10e6b23616ae5bc97,39.0,7.53,46.53
00b30bb163474583c14db1689259cf4d,189.9,26.61,216.51
00b7174ea52bb811ebe2663add51afc0,69.9,23.07,92.97
00c42b1633c1b2fa4e937bf312466561,39.9,15.1,55.0
00c9d0257381c7e9ec13b4505f25b2cf,362.45,25.12,387.57
00cb18db3d9c03f8386e7fc70cad2504,125.9,18.13,144.03
00cee8a4dbb042385cbbd84699e78b2e,59.9,9.17,69.07
00d94e8901b75ee0d6ef1f87f947b666,55.8,41.6,97.4
00d9ac423c9ad6781c0ed04e87666691,349.9,29.3,379.2
00ea690fe8c5eba029a3884243a02352,32.99,16.11,49.1
00ed64bc080d87b4ab7f0c433bc5e98f,44.9,16.11,61.01
00f1c7c1542f5f86c3091749d9e939d8,84.99,16.35,101.34
00fed9e582d5a3e38566872eec164ac6,359.98,52.2,412.18
00ff0cf5583758e6964723e42f111bf4,154.9,15.25,170.15
010061e3aa0c6ed5e393dda0652bbee8,299.0,10.29,309.29
01094e169d4b14edaf6954eeddb83633,79.9,28.96,108.86000000000001
010b143d83a59b355cd5a75c0f0fd785,88.0,136.6,224.6
010efe60bdadc9261d1902f3c1dda5f3,110.0,18.65,128.65
012b3f6ab7776a8ab3443a4ad7bef2e6,107.8,0.0,107.8
013056cfe49763c6f66bda03396c5ee3,240.0,14.7,254.7
0136390286be8a34efdc801ed150568f,6.98,33.58,40.56
01443cd06ea8bce82c554a46f307459f,25.0,14.1,39.1
01490a4bdacbafe6de009b317a0c8bf6,127.45,23.69,151.14000000000001
014bd8ca0827935402ac39f2751b2fcd,119.9,15.72,135.62
014e36af18c280a94d880a16b2f00713,60.0,25.38,85.38
015975a1ff4fdab8ae6f42eaaffd39fb,129.0,38.45,167.45
01677846a819fff5fc22d43d61e58367,120.0,7.87,127.87
0176a6846bcb3b0d3aa3116a9a768597,45.9,7.78,53.68
01787af385123b93ba50c5f05530ee12,99.6,14.78,114.38
018cb6a10649393055c272ba2984e8bb,56.8,18.28,75.08
0193a99edc8c599aaa16f9b9e991efb8,154.9,15.39,170.29000000000002
01b37f50cf3098b3dd9d0450a188348c,68.9,18.28,87.18
01bae920aea13b891b50bc1543634a65,57.49,9.94,67.43
01c79ae32ef95b276907d99e83fe57e5,16.9,7.78,24.68
01d0aabab5da85da61bbd4d40882b82c,18.9,14.1,33.0
01dcbb39823b4cda39ddcc6679fb00ac,79.8,35.2,115.0
01dfa7b5bb8dcd546273e480c27043bc,51.4,14.59,65.99
0210f3225937e9d7702e0c3fff098b98,13.3,8.11,21.41
